Regional,Seed,Team,Conference,Record,Berth Type,Overall Rank
South,1,Virginia,,,,
South,2,Tennessee,,,,
South,3,Purdue,,,,
South,4,Kansas State,,,,
South,5,Wisconsin,,,,
South,6,Villanova,,,,
South,7,Cincinnati,,,,
South,8,Ole Miss,,,,
South,9,Oklahoma,,,,
South,10,Iowa,,,,
South,11,Saint Mary's,,,,
South,12,Oregon,,,,
South,13,UC Irvine,,,,
South,14,Old Dominion,,,,
South,15,Colgate,,,,
South,16,Gardner–Webb,,,,
West,1,Gonzaga,,,,
West,2,Michigan,,,,
West,3,Texas Tech,,,,
West,4,Florida State,,,,
West,5,Marquette,,,,
West,6,Buffalo,,,,
West,7,Nevada,,,,
West,8,Syracuse,,,,
West,9,Baylor,,,,
West,10,Florida,,,,
West,11,St. John’s,,,,
West,12,Murray State,,,,
West,13,Vermont,,,,
West,14,Northern Kentucky,,,,
West,15,Montana,,,,
West,16,Farleigh Dickinson,,,,
East,1,Duke,,,,
East,2,Michigan St.,,,,
East,3,LSU,,,,
East,4,Virginia Tech,,,,
East,5,Mississippi St.,,,,
East,6,Maryland,,,,
East,7,Louisville,,,,
East,8,VCU,,,,
East,9,Central Florida,,,,
East,10,Minnesota,,,,
East,11,Temple,,,,
East,12,Liberty,,,,
East,13,Saint Louis,,,,
East,14,Yale,,,,
East,15,Bradley,,,,
East,16,North Dakota St.,,,,
Midwest,1,North Carolina,,,,
Midwest,2,Kentucky,,,,
Midwest,3,Houston,,,,
Midwest,4,Kansas,,,,
Midwest,5,Auburn,,,,
Midwest,6,Iowa State,,,,
Midwest,7,Wofford,,,,
Midwest,8,Utah State,,,,
Midwest,9,Washington,,,,
Midwest,10,Seton Hall,,,,
Midwest,11,Ohio State,,,,
Midwest,12,New Mexico State,,,,
Midwest,13,Northeastern,,,,
Midwest,14,Georgia State,,,,
Midwest,15,Abilene Christian,,,,
Midwest,16,Iona,,,,
