TeamID,TeamName,FirstD1Season,LastD1Season
1101,Abilene Christian,2014,2019
1102,Air Force,1985,2019
1103,Akron,1985,2019
1104,Alabama,1985,2019
1105,Alabama A&M,2000,2019
1106,Alabama St.,1985,2019
1107,Albany,2000,2019
1108,Alcorn St.,1985,2019
1110,American,1985,1991
1111,Appalachian St.,1985,2019
1112,Arizona,1985,2019
1113,Arizona St.,1985,2019
1116,Arkansas,1985,2019
1118,Arkansas Pine Bluff,1985,2019
1117,Arkansas St.,1999,2019
1119,Army,1985,2019
1120,Auburn,1985,2019
1122,Austin Peay,1987,1987
1123,Ball St.,1985,2019
1124,Baylor,1985,2019
1125,Belmont,1985,1991
1126,Bethune Cookman,1985,2019
1127,Binghamton,1985,2019
1129,Boise St.,1985,2019
1130,Boston College,2000,2019
1131,Boston University,1985,2019
1132,Bowling Green,2002,2019
1133,Bradley,2003,2006
1135,Brown,1985,2019
1136,Bryant,1985,2019
1137,Bucknell,1985,2019
1138,Buffalo,1985,2019
1139,Butler,1985,2019
1140,BYU,1985,1992
1465,Cal Baptist,1985,2019
1142,Cal Poly,2009,2019
1167,Cal St. Bakersfield,1985,2019
1168,Cal St. Fullerton,1992,2019
1169,Cal St. Northridge,1985,2019
1143,California,1985,2019
1144,Campbell,1985,2019
1145,Canisius,1995,2019
1146,Central Arkansas,1985,2019
1148,Central Connecticut,1985,2019
1141,Central Michigan,1985,2019
1158,Charleston,2007,2019
1149,Charleston Southern,1985,2011
1150,Charlotte,1987,2019
1151,Chattanooga,1985,2019
1152,Chicago St.,1985,2019
1153,Cincinnati,1985,2019
1155,Clemson,1985,2019
1156,Cleveland St.,1985,2019
1157,Coastal Carolina,1985,2019
1159,Colgate,1985,2019
1160,Colorado,1985,2019
1161,Colorado St.,1987,2019
1162,Columbia,1992,2019
1163,Connecticut,1985,2019
1164,Coppin St.,1985,2019
1165,Cornell,1985,2019
1166,Creighton,1985,2019
1171,Dartmouth,1985,2019
1172,Davidson,1986,2019
1173,Dayton,1985,2019
1174,Delaware,1985,2019
1175,Delaware St.,2008,2019
1176,Denver,1985,2019
1177,DePaul,1991,2019
1178,Detroit,1992,2019
1179,Drake,1985,2019
1180,Drexel,1985,2019
1181,Duke,1985,2019
1182,Duquesne,1985,2019
1187,East Carolina,1985,2019
1190,East Tennessee St.,1999,2019
1183,Eastern Illinois,1985,2019
1184,Eastern Kentucky,1985,2019
1185,Eastern Michigan,1985,2019
1186,Eastern Washington,1985,2019
1189,Elon,1985,2019
1191,Evansville,1985,2019
1193,Fairfield,1985,2019
1192,Fairleigh Dickinson,1985,2019
1198,FIU,1985,2019
1196,Florida,1985,2019
1197,Florida A&M,1985,2019
1194,Florida Atlantic,2009,2019
1195,Florida Gulf Coast,2000,2019
1199,Florida St.,1985,2019
1200,Fordham,1985,2019
1201,Fresno St.,1985,2019
1202,Furman,1985,2019
1205,Gardner Webb,1994,2019
1206,George Mason,2008,2019
1203,George Washington,1985,2019
1207,Georgetown,1985,2019
1208,Georgia,1988,2019
1204,Georgia Southern,1985,2019
1209,Georgia St.,1985,2019
1210,Georgia Tech,1985,2019
1211,Gonzaga,1985,2019
1212,Grambling St.,1985,2019
1213,Grand Canyon,1985,2019
1453,Green Bay,2003,2019
1214,Hampton,1985,2019
1216,Hartford,1985,2019
1217,Harvard,1985,2019
1218,Hawaii,1985,2019
1219,High Point,1985,2019
1220,Hofstra,1985,2019
1221,Holy Cross,1985,2019
1222,Houston,2014,2019
1223,Houston Baptist,1996,2019
1224,Howard,1985,1990
1225,Idaho,1985,2019
1226,Idaho St.,1985,2019
1228,Illinois,1985,2019
1227,Illinois Chicago,2000,2019
1229,Illinois St.,1985,2019
1230,Incarnate Word,1985,2019
1231,Indiana,1985,2019
1232,Indiana St.,1985,2019
1233,Iona,1985,2019
1234,Iowa,1985,2019
1235,Iowa St.,1985,2019
1237,IUPUI,1985,2019
1238,Jackson St.,1985,2019
1239,Jacksonville,1985,2019
1240,Jacksonville St.,2014,2019
1241,James Madison,1985,2019
1242,Kansas,1985,2019
1243,Kansas St.,1985,2019
1244,Kennesaw St.,1985,2019
1245,Kent St.,1985,2019
1246,Kentucky,2003,2019
1247,La Salle,1999,2019
1248,Lafayette,1985,2019
1249,Lamar,1985,2019
1250,Lehigh,1996,2019
1251,Liberty,1985,2019
1252,Lipscomb,1985,2019
1114,Little Rock,1985,2019
1254,LIU Brooklyn,2006,2019
1253,Long Beach St.,1985,2019
1255,Longwood,1985,2019
1418,Louisiana,1985,2019
1419,Louisiana Monroe,1985,2019
1256,Louisiana Tech,1985,2019
1257,Louisville,1985,2019
1260,Loyola Chicago,1989,2019
1258,Loyola Marymount,2003,2019
1259,Loyola MD,1985,2019
1261,LSU,1985,2019
1263,Maine,2005,2019
1264,Manhattan,1985,2019
1265,Marist,1985,2019
1266,Marquette,1985,2019
1267,Marshall,1985,2019
1268,Maryland,1985,2019
1271,Maryland Eastern Shore,1985,2019
1269,Massachusetts,2014,2019
1270,McNeese St.,1985,2019
1272,Memphis,1985,2019
1273,Mercer,1985,2019
1274,Miami FL,1985,2019
1275,Miami OH,1985,2019
1276,Michigan,1985,2019
1277,Michigan St.,1985,2019
1292,Middle Tennessee,1985,2019
1454,Milwaukee,1985,2019
1278,Minnesota,1985,2019
1279,Mississippi,1985,2019
1280,Mississippi St.,1986,2019
1290,Mississippi Valley St.,1985,2019
1281,Missouri,1985,2019
1283,Missouri St.,1985,2019
1284,Monmouth,1985,2019
1285,Montana,1985,2019
1286,Montana St.,1985,2019
1287,Morehead St.,1985,2019
1288,Morgan St.,1990,2019
1291,Mount St. Mary's,1985,2019
1293,Murray St.,1985,2019
1298,Navy,1985,2019
1304,Nebraska,1985,2019
1303,Nebraska Omaha,1985,2019
1305,Nevada,1985,2019
1306,New Hampshire,2002,2003
1307,New Mexico,1985,2019
1308,New Mexico St.,1989,2019
1309,New Orleans,1985,2019
1310,Niagara,1985,2019
1311,Nicholls St.,2005,2019
1312,NJIT,2006,2019
1313,Norfolk St.,1985,2019
1466,North Alabama,2013,2019
1314,North Carolina,1985,2019
1299,North Carolina A&T,1985,2019
1300,North Carolina Central,2008,2019
1301,North Carolina St.,1985,2019
1315,North Dakota,1991,1998
1295,North Dakota St.,2012,2019
1316,North Florida,1985,2019
1317,North Texas,1985,2019
1318,Northeastern,1985,2019
1319,Northern Arizona,1985,2019
1294,Northern Colorado,1985,2019
1296,Northern Illinois,1985,2019
1320,Northern Iowa,1985,2019
1297,Northern Kentucky,1985,2019
1321,Northwestern,2007,2019
1322,Northwestern St.,1998,2019
1323,Notre Dame,1985,2019
1324,Oakland,2009,2019
1325,Ohio,2006,2019
1326,Ohio St.,1985,2019
1328,Oklahoma,1985,2019
1329,Oklahoma St.,1985,2019
1330,Old Dominion,1985,2019
1331,Oral Roberts,1985,2019
1332,Oregon,1985,2019
1333,Oregon St.,1985,2019
1334,Pacific,2000,2019
1335,Penn,1985,2019
1336,Penn St.,1985,2019
1337,Pepperdine,1985,1985
1338,Pittsburgh,1985,2019
1339,Portland,1985,2019
1340,Portland St.,1985,2019
1341,Prairie View A&M,1985,2019
1342,Presbyterian,1985,2019
1343,Princeton,1985,2019
1344,Providence,1985,2019
1345,Purdue,1985,2019
1236,Purdue Fort Wayne,1985,2019
1346,Quinnipiac,1985,2019
1347,Radford,1985,2019
1348,Rhode Island,1985,2019
1349,Rice,1999,2019
1350,Richmond,1985,2019
1351,Rider,2008,2019
1352,Robert Morris,1985,2019
1353,Rutgers,1985,2019
1170,Sacramento St.,1985,2019
1357,Sacred Heart,1999,2019
1386,Saint Joseph's,1985,2019
1387,Saint Louis,1985,2019
1388,Saint Mary's,1985,2019
1389,Saint Peter's,1985,2019
1358,Sam Houston St.,1985,2019
1359,Samford,1985,2019
1360,San Diego,1985,2019
1361,San Diego St.,1985,2019
1362,San Francisco,2006,2019
1363,San Jose St.,1985,2019
1365,Santa Clara,2000,2019
1366,Savannah St.,1987,2019
1370,Seattle,1985,2019
1371,Seton Hall,1985,2019
1373,Siena,1985,2019
1188,SIU Edwardsville,1986,2019
1374,SMU,1985,2019
1375,South Alabama,1985,2019
1376,South Carolina,1985,2019
1354,South Carolina St.,2003,2019
1377,South Dakota,2008,2019
1355,South Dakota St.,1985,2019
1378,South Florida,1992,2019
1369,Southeast Missouri St.,2009,2019
1368,Southeastern Louisiana,1985,2019
1380,Southern,1987,2019
1356,Southern Illinois,1985,2019
1379,Southern Miss,1985,2019
1381,Southern Utah,1985,2019
1382,St. Bonaventure,1985,2019
1383,St. Francis NY,2009,2019
1384,St. Francis PA,1985,2019
1385,St. John's,1985,2019
1390,Stanford,1985,2019
1372,Stephen F. Austin,1989,2019
1391,Stetson,1985,2019
1392,Stony Brook,1985,2019
1393,Syracuse,1985,2019
1395,TCU,1985,2019
1396,Temple,1985,2019
1397,Tennessee,1985,2019
1404,Tennessee Martin,1985,2019
1398,Tennessee St.,1985,2019
1399,Tennessee Tech,1985,2019
1400,Texas,1985,2019
1401,Texas A&M,2000,2019
1394,Texas A&M Corpus Chris,1985,2019
1411,Texas Southern,2003,2019
1402,Texas St.,1985,2019
1403,Texas Tech,1985,2019
1154,The Citadel,1985,2019
1405,Toledo,1985,2019
1406,Towson,1985,2019
1407,Troy,1985,2019
1408,Tulane,1985,2019
1409,Tulsa,1985,2019
1412,UAB,1985,2019
1413,UC Davis,1993,2019
1414,UC Irvine,1985,2019
1415,UC Riverside,1985,2019
1364,UC Santa Barbara,1994,2019
1416,UCF,1985,2019
1417,UCLA,1985,2019
1262,UMass Lowell,1985,2019
1420,UMBC,1985,2019
1282,UMKC,1985,2019
1421,UNC Asheville,2005,2019
1422,UNC Greensboro,1985,2019
1423,UNC Wilmington,2002,2019
1424,UNLV,1985,2019
1425,USC,1985,2019
1367,USC Upstate,1985,2019
1426,UT Arlington,1985,2019
1410,UT Rio Grande Valley,1987,2019
1428,Utah,1987,2019
1429,Utah St.,1992,2019
1430,Utah Valley,1985,2019
1431,UTEP,1985,2019
1427,UTSA,1985,2019
1434,Valparaiso,1985,2019
1435,Vanderbilt,1985,2019
1433,VCU,1985,2019
1436,Vermont,1985,2019
1437,Villanova,2005,2019
1438,Virginia,1985,2019
1439,Virginia Tech,1985,1987
1440,VMI,1985,2019
1447,Wagner,1985,2019
1448,Wake Forest,1985,2019
1449,Washington,1985,2019
1450,Washington St.,1985,2019
1451,Weber St.,1985,2019
1452,West Virginia,1985,2019
1441,Western Carolina,1985,2019
1442,Western Illinois,1985,2019
1443,Western Kentucky,1985,2019
1444,Western Michigan,1985,2019
1455,Wichita St.,1985,2019
1456,William & Mary,2007,2010
1457,Winthrop,1985,1986
1458,Wisconsin,1985,2019
1459,Wofford,1985,2019
1460,Wright St.,1985,2019
1461,Wyoming,1985,2019
1462,Xavier,1985,2019
1463,Yale,1985,2019
1464,Youngstown St.,1985,2019
