Country,Province,chipop
China,Beijing,30319.98
China,Tianjin,18809.64
China,Hebei,36010.27
China,Shanxi,16818.11
China,Inner Mongolia,17289.22
China,Liaoning,25315.35
China,Jilin,15074.62
China,Heilongjiang,16361.62
China,Shanghai,32679.87
China,Jiangsu,92595.4
China,Zhejiang,56197.15
China,Anhui,30006.82
China,Fujian,35804.04
China,Jiangxi,21984.78
China,Shandong,76469.67
China,Henan,48055.86
China,Hubei,39366.55
China,Hunan,36425.78
China,Guangdong,97277.77
China,Guangxi,20352.51
China,Hainan,4832.05
China,Chongqing,20363.19
China,Sichuan,40678.13
China,Guizhou,14806.45
China,Yunnan,17881.12
China,Tibet,1477.63
China,Shaanxi,24438.32
China,Gansu,8246.07
China,Qinghai,2865.23
China,Ningxia,3705.18
China,Xinjiang,12199.08
